Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)"
Afghanistan,AFG,2021,1516.3057
Albania,ALB,2021,14518.906
Algeria,DZA,2021,11039.806
Angola,AGO,2021,5908.57
Antigua and Barbuda,ATG,2021,19124.43
Argentina,ARG,2021,21527.195
Armenia,ARM,2021,14193.117
Aruba,ABW,2021,38866.332
Australia,AUS,2021,49774.34
Austria,AUT,2021,54121.145
Azerbaijan,AZE,2021,14431.661
Bahamas,BHS,2021,30210.162
Bahrain,BHR,2021,49387.418
Bangladesh,BGD,2021,5911.013
Barbados,BRB,2021,13754.803
Belarus,BLR,2021,19751.203
Belgium,BEL,2021,51739.54
Belize,BLZ,2021,8762.623
Benin,BEN,2021,3321.5522
Bermuda,BMU,2021,80271.13
Bhutan,BTN,2021,10907.856
Bolivia,BOL,2021,8052.1772
Bosnia and Herzegovina,BIH,2021,15666.54
Botswana,BWA,2021,14840.913
Brazil,BRA,2021,14592.353
Brunei,BRN,2021,60127.023
Bulgaria,BGR,2021,24398.13
Burkina Faso,BFA,2021,2179.789
Burundi,BDI,2021,705.0304
Cambodia,KHM,2021,4354.5654
Cameroon,CMR,2021,3700.4644
Canada,CAN,2021,47892.945
Cape Verde,CPV,2021,6114.1333
Cayman Islands,CYM,2021,67500.1
Central African Rep.,CAF,2021,837.5047
Chad,TCD,2021,1425.4945
Chile,CHL,2021,25449.13
China,CHN,2021,17602.695
Colombia,COL,2021,14648.592
Comoros,COM,2021,3228.5269
Congo,COG,2021,3234.393
Costa Rica,CRI,2021,21199.281
Cote d'Ivoire,CIV,2021,5325.0303
Croatia,HRV,2021,31635.824
Curacao,CUW,2021,20783.086
Cyprus,CYP,2021,41701.703
Czechia,CZE,2021,40740.992
Dem. Rep. Congo,COD,2021,1073.6433
Denmark,DNK,2021,57962.652
Djibouti,DJI,2021,4913.2563
Dominica,DMA,2021,10878.037
Dominican Republic,DOM,2021,18626.078
East Asia and Pacific (WB),,2021,18577.42
East Timor,TLS,2021,5032.41
Ecuador,ECU,2021,10668.758
Egypt,EGY,2021,11566.05
El Salvador,SLV,2021,9086.047
Equatorial Guinea,GNQ,2021,14637.008
Estonia,EST,2021,38717.695
Eswatini,SWZ,2021,8856.829
Ethiopia,ETH,2021,2319.0684
Europe and Central Asia (WB),,2021,35471.203
European Union (27),,2021,44138.035
Fiji,FJI,2021,10359.204
Finland,FIN,2021,48753.355
France,FRA,2021,44993.125
Gabon,GAB,2021,13813.723
Gambia,GMB,2021,2076.5664
Georgia,GEO,2021,15486.659
Germany,DEU,2021,53179.656
Ghana,GHA,2021,5435.238
Greece,GRC,2021,29548.04
Grenada,GRD,2021,13688.256
Guatemala,GTM,2021,8926.7
Guinea,GIN,2021,2640.3442
Guinea-Bissau,GNB,2021,1831.3832
Guyana,GUY,2021,21925.188
Haiti,HTI,2021,2870.145
High-income countries,,2021,50122.207
Honduras,HND,2021,5572.177
Hong Kong,HKG,2021,59978.15
Hungary,HUN,2021,33593.152
Iceland,ISL,2021,53586.156
India,IND,2021,6592.042
Indonesia,IDN,2021,11858.146
Iran,IRN,2021,15004.6875
Iraq,IRQ,2021,8962.395
Ireland,IRL,2021,102496.22
Israel,ISR,2021,42061.242
Italy,ITA,2021,41929.43
Jamaica,JAM,2021,9596.564
Japan,JPN,2021,40784.383
Jordan,JOR,2021,9223.147
Kazakhstan,KAZ,2021,26110.53
Kenya,KEN,2021,4743.4863
Kiribati,KIR,2021,1937.0894
Kosovo,OWID_KOS,2021,11884.18
Kyrgyzstan,KGZ,2021,4814.9565
Laos,LAO,2021,7846.975
Latin America and Caribbean (WB),,2021,15774.807
Latvia,LVA,2021,32081.455
Lebanon,LBN,2021,12977.202
Lesotho,LSO,2021,2295.2322
Liberia,LBR,2021,1423.2296
Libya,LBY,2021,21965.174
Lithuania,LTU,2021,39305.613
Low-income countries,,2021,1956.767
Lower-middle-income countries,,2021,7241.6
Luxembourg,LUX,2021,115683.49
Macao,MAC,2021,64796.996
Madagascar,MDG,2021,1463.6288
Malawi,MWI,2021,1491.1339
Malaysia,MYS,2021,26333.156
Maldives,MDV,2021,18765.217
Mali,MLI,2021,2120.6233
Malta,MLT,2021,44658.72
Marshall Islands,MHL,2021,5961.8164
Mauritania,MRT,2021,5307.522
Mauritius,MUS,2021,20967.947
Mexico,MEX,2021,19086.105
Micronesia (country),FSM,2021,3315.2302
Middle East and North Africa (WB),,2021,15779.084
Middle-income countries,,2021,11891.63
Moldova,MDA,2021,14009.226
Mongolia,MNG,2021,11668.431
Montenegro,MNE,2021,20602.5
Morocco,MAR,2021,8058.397
Mozambique,MOZ,2021,1226.767
Myanmar,MMR,2021,4032.6257
Namibia,NAM,2021,9137.797
Nauru,NRU,2021,11947.395
Nepal,NPL,2021,3831.9485
Netherlands,NLD,2021,56617.35
New Zealand,NZL,2021,42915.453
Nicaragua,NIC,2021,5638.748
Niger,NER,2021,1186.5768
Nigeria,NGA,2021,4922.6323
North America (WB),,2021,62042.66
North Macedonia,MKD,2021,16467.316
Norway,NOR,2021,65662.17
Oman,OMN,2021,34294.766
Pakistan,PAK,2021,5232.1426
Palau,PLW,2021,13785.397
Panama,PAN,2021,29037.945
Papua New Guinea,PNG,2021,3677.4602
Paraguay,PRY,2021,13687.655
Peru,PER,2021,12514.651
Philippines,PHL,2021,8094.693
Poland,POL,2021,34915.523
Portugal,PRT,2021,33674.527
Puerto Rico,PRI,2021,32632.883
Qatar,QAT,2021,92862.35
Romania,ROU,2021,30776.93
Russia,RUS,2021,27960.102
Rwanda,RWA,2021,2238.9573
Saint Kitts and Nevis,KNA,2021,26485.816
Saint Lucia,LCA,2021,13045.955
Saint Vincent and the Grenadines,VCT,2021,13695.039
Samoa,WSM,2021,5534.127
Sao Tome and Principe,STP,2021,4052.1233
Saudi Arabia,SAU,2021,44339.312
Senegal,SEN,2021,3495.4036
Serbia,SRB,2021,19831.297
Seychelles,SYC,2021,28760.516
Sierra Leone,SLE,2021,1614.6981
Singapore,SGP,2021,106032.23
Slovakia,SVK,2021,31866.025
Slovenia,SVN,2021,40036.484
Solomon Islands,SLB,2021,2406.1135
Somalia,SOM,2021,1136.736
South Africa,ZAF,2021,13311.926
South Asia (WB),,2021,6299.5947
South Korea,KOR,2021,44232.207
S. Sudan,SDN,2021,3701.069
Spain,ESP,2021,37913.074
Sri Lanka,LKA,2021,13386.682
Sub-Saharan Africa (WB),,2021,3716.9844
Sudan,SDN,2021,3701.069
Suriname,SUR,2021,14766.748
Sweden,SWE,2021,53613.42
Switzerland,CHE,2021,71032.84
Tajikistan,TJK,2021,3903.32
Tanzania,TZA,2021,2581.6997
Thailand,THA,2021,17077.043
Togo,TGO,2021,2124.8042
Tonga,TON,2021,6142.857
Trinidad and Tobago,TTO,2021,23037.143
Tunisia,TUN,2021,10397.944
Turkey,TUR,2021,31466.56
Turks and Caicos Islands,TCA,2021,18512.457
Tuvalu,TUV,2021,4924.0273
Uganda,UGA,2021,2246.414
Ukraine,UKR,2021,12943.614
United Arab Emirates,ARE,2021,69733.8
United Kingdom,GBR,2021,44978.715
United States of America,USA,2021,63669.71
Uruguay,URY,2021,22800.69
Uzbekistan,UZB,2021,7734.8325
Vanuatu,VUT,2021,2783.0195
Vietnam,VNM,2021,10628.219
West Bank and Gaza,,2021,5643.0723
Zambia,ZMB,2021,3236.789
Zimbabwe,ZWE,2021,2115.1445