Continents,Year,Average GDP,Average Happiness Index
Europe,2015,36068.57355,5.90274
Asia,2015,13640.52353,5.167272727
Africa,2015,12381.56088,4.604166667
Oceania,2015,44293.996,7.285
North America,2015,52974.845,7.273
South America,2015,18466.40368,6.144681818
Europe,2016,36834.8581,5.92298
Asia,2016,13962.23167,5.169909091
Africa,2016,12387.11392,4.552964912
Oceania,2016,44864.7755,7.3235
North America,2016,53215.244,7.254
South America,2016,18585.38627,6.10175
Europe,2017,37941.51045,5.953320007
Asia,2017,14375.03562,5.230380932
Africa,2017,12331.00954,4.569799991
Oceania,2017,45309.393,7.299000025
North America,2017,54115.9765,7.154500008
South America,2017,18820.21671,5.957818194
Europe,2018,38931.04163,6.01744
Asia,2018,14788.8225,5.185454545
Africa,2018,12373.08575,4.594
Oceania,2018,45957.443,7.298
North America,2018,55159.065,7.107
South America,2018,19042.0956,5.950136364
Europe,2019,39772.1445,6.0994
Asia,2019,15074.92041,5.149272727
Africa,2019,12298.43696,4.656037037
Oceania,2019,46244.732,7.2675
North America,2019,55824.882,7.085
South America,2019,19157.48342,5.954428571
Europe,2020,37997.86715,6.444960531
Asia,2020,14311.7387,5.184886336
Africa,2020,11542.40278,4.639607149
Oceania,2020,45194.9385,7.261199951
North America,2020,53116.0545,7.085850001
South America,2020,17239.67356,5.981785706
Europe,2021,40337.9376,6.498789474
Asia,2021,15004.36113,5.210136364
Africa,2021,11395.09885,4.727113208
Oceania,2021,46344.8965,7.23
North America,2021,55781.3275,7.027
South America,2021,18380.6781,5.90805
,,,
,,,
,,,
,,,
,,,
,,,